444	897	865	995	119	529	596	611	456	409	
488	721	811	486	128	634	112	790	966	669	
41	274	833	918	353	135	852	785	359	633	
556	804	882	773	151	2	302	99	613	758	
860	453	832	672	291	312	658	404	102	977	
425	495	251	258	414	604	745	618	389	105	
251	945	261	134	71	764	488	373	863	453	
484	724	906	668	748	197	980	758	953	434	
735	731	930	987	341	696	943	87	314	685	
544	917	982	157	51	53	921	891	427	784	
344	263	860	250	931	608	800	263	367	105	
697	454	836	627	793	178	675	737	617	989	
422	161	259	404	318	662	810	239	554	589	
375	898	852	588	149	135	196	301	398	915	
406	95	722	595	75	515	125	750	252	94	
92	26	255	351	783	925	13	593	516	919	
182	891	818	34	479	319	521	28	620	919	
295	378	14	17	325	441	885	802	192	137	
896	636	516	503	987	299	428	352	244	944	
272	426	188	442	812	19	761	333	399	733	
604	47	463	618	416	141	60	301	943	604	
791	192	240	659	695	579	958	476	931	554	
772	555	332	960	349	144	332	462	829	83	
195	785	482	11	403	899	152	815	552	447	
771	695	639	11	354	687	590	664	163	874	
218	935	781	550	248	131	46	932	593	227	
15	141	12	498	504	768	749	8	935	653	
455	707	349	447	70	703	486	661	720	1	
887	938	936	20	841	536	151	887	468	97	
467	836	590	831	686	446	599	787	454	535	
440	261	594	789	60	664	845	546	677	565	
547	564	503	836	585	344	724	88	584	193	
537	403	381	127	234	67	925	186	854	379	
73	294	641	667	436	53	331	281	600	361	
846	499	925	701	687	862	398	412	303	334	
957	840	737	338	320	323	757	245	509	963	
977	582	609	618	249	45	671	933	678	623	
294	524	475	571	578	162	786	976	574	89	
310	531	281	399	221	601	722	978	199	584	
941	176	166	551	146	768	596	169	53	275	
793	699	151	268	270	729	782	408	57	357	
497	367	240	131	118	462	732	841	440	283	
425	734	459	943	285	605	711	233	775	764	
860	920	815	364	540	86	93	322	846	151	
31	344	870	272	475	989	86	559	182	526	
843	959	612	654	902	897	612	966	483	387	
82	343	659	898	707	199	336	153	521	182	
656	553	878	878	177	705	219	263	265	401	
141	460	360	754	466	615	3	78	581	486	
817	663	182	476	561	889	675	897	394	549	
80	402	454	958	281	631	16	500	894	633	
254	35	93	966	141	911	581	145	990	162	
631	159	178	813	636	739	55	663	989	801	
564	421	204	18	731	485	1	747	337	895	
380	591	283	825	558	424	737	491	921	79	
6	553	238	184	718	226	275	125	242	264	
927	806	685	131	177	769	616	178	516	953	
426	897	897	61	74	807	837	811	298	759	
242	304	664	833	840	382	411	116	508	653	
732	787	812	418	918	341	187	534	871	55	
839	297	304	88	710	379	895	548	542	194	
307	785	850	323	970	691	57	381	159	917	
35	891	704	199	661	622	540	200	508	411	
256	700	61	560	788	771	939	684	671	834	
230	978	619	432	653	941	475	711	322	634	
628	709	878	333	908	539	955	800	740	816	
564	348	516	625	908	304	748	200	340	420	
386	922	750	5	707	404	298	182	115	620	
169	743	330	47	428	590	938	384	391	30	
552	955	378	68	932	639	724	680	191	417	
452	577	339	203	934	46	607	232	581	74	
852	102	817	534	149	246	125	439	982	868	
470	534	823	848	954	107	839	678	139	30	
95	592	607	787	795	541	185	754	773	118	
828	978	220	645	512	721	243	989	161	577	
857	983	463	32	183	417	139	23	448	279	
405	895	871	13	682	18	906	220	772	680	
690	600	10	911	597	522	984	193	512	497	
770	721	480	234	754	16	3	245	391	451	
524	796	347	747	809	381	117	716	601	889	
748	644	841	758	555	791	632	891	984	496	
389	106	218	221	692	972	237	696	217	980	
147	94	777	846	193	938	228	311	6	181	
552	754	825	394	864	732	185	497	624	521	
993	365	627	211	586	672	535	176	368	105	
156	867	551	285	714	744	224	294	407	230	
475	960	985	653	706	849	385	243	698	361	
116	692	726	95	255	665	767	791	193	487	
896	349	355	447	635	421	543	211	715	951	
441	542	263	778	195	321	628	933	564	326	
294	680	370	373	775	626	38	895	417	583	
382	665	284	89	464	271	510	7	482	577	
310	924	472	573	702	667	894	682	952	810	
361	247	842	731	972	970	709	362	865	478	
945	247	143	229	337	607	501	199	967	983	
129	277	259	601	851	962	620	97	996	573	
908	357	172	750	441	144	720	150	506	585	
629	451	185	772	32	874	732	533	73	699	
869	202	976	128	155	179	442	776	277	439	
349	537	148	521	639	589	17	360	740	523	
